8.388	0.655	-5732	-2914
8.865	0.655	-5682	-2882
8.949	0.655	-5654	-2866
9.174	0.655	-5627	-2849
9.626	0.655	-5603	-2832
9.664	0.655	-5576	-2817
9.592	0.655	-5550	-2795
9.944	0.348	-5522	-2780
9.965	0.348	-5484	-2762
9.500	0.348	-5406	-2726
9.481	0.348	-5373	-2712
9.732	0.348	-5300	-2685
10.118	0.348	-5267	-2677
10.065	0.348	-5231	-2668
10.023	0.348	-5195	-2673
10.041	0.348	-5159	-2668
9.946	0.261	-5092	-2667
9.851	0.261	-5058	-2656
9.847	0.261	-5023	-2648
9.816	0.261	-4984	-2654
9.426	0.261	-4903	-2634
8.661	0.261	-4868	-2617
